product_name,product_id,price_id,amount,currency,payment_link_url
Codex Premium Pass,prod_USRFfa4fq2BtIe,price_1TTWNHHb9mVEJOcY38wyunxU,3749.0,usd,https://pay.codexlitigation.org/b/00wbJ1aoL0jHbBm0BqfbA1o
DeerSafe,prod_USRFBDgk7qoJyU,price_1TTWNGHb9mVEJOcYtPjF1Npr,12742.0,usd,https://pay.codexlitigation.org/b/7sY6oH54raYleNy1FufbA1p
DeerSafe,prod_USRFBDgk7qoJyU,price_1TTWNGHb9mVEJOcYjBOoWEzK,4797.0,usd,https://pay.codexlitigation.org/b/dRmdR968v7M9cFq2JyfbA1q
DeerSafe,prod_USRFBDgk7qoJyU,price_1TTWNFHb9mVEJOcYswewKnlh,1499.0,usd,https://pay.codexlitigation.org/b/4gMcN52WjaYl48Uac0fbA1r
Codex Rituals Pack,prod_USRFzX0DgpcP9m,price_1TTWNEHb9mVEJOcYtalfrSGO,1199.0,usd,https://pay.codexlitigation.org/b/dRmbJ11Sfeax8paac0fbA1s
High-Clarity Decision Protocol,prod_USRF5rnb9aK6Dq,price_1TTWNCHb9mVEJOcY99eejsIw,12742.0,usd,https://pay.codexlitigation.org/b/aFadR954r0jH5cYdocfbA1t
High-Clarity Decision Protocol,prod_USRF5rnb9aK6Dq,price_1TTWNCHb9mVEJOcY5mnZyYRV,4797.0,usd,https://pay.codexlitigation.org/b/9B6fZh8gD9Uh5cYesgfbA1u
High-Clarity Decision Protocol,prod_USRF5rnb9aK6Dq,price_1TTWNBHb9mVEJOcYzh9OxsYm,1499.0,usd,https://pay.codexlitigation.org/b/8x25kD40n7M9axi5VKfbA1v
Codex Master Bundle,prod_US9H1wDkPzjHhJ,price_1TTEzIHb9mVEJOcYCHuxf0rK,4999.0,usd,https://pay.codexlitigation.org/b/eVq9AT54r3vT7l6gAofbA1w
Codex Vertical Pack,prod_US9HsiKuWm9IHo,price_1TTEzIHb9mVEJOcYVeVCSVSW,1499.0,usd,https://pay.codexlitigation.org/b/6oU3cv68v1nLgVG97WfbA1x
Founder Protocols Pack,prod_US9HdWC9BAZBBT,price_1TTEzIHb9mVEJOcYu3qeAesH,1199.0,usd,https://pay.codexlitigation.org/b/7sY4gzeF1c2pbBmesgfbA1y
Codex Rituals Pack,prod_US9HZ8jWFHy4vv,price_1TTEzHHb9mVEJOcY2hlswlzW,1199.0,usd,https://pay.codexlitigation.org/b/9B67sL8gD9Uh8pagAofbA1z
Codex Systems Pack,prod_US9HqOOLO8daZf,price_1TTEzHHb9mVEJOcY1LTnm6aG,3499.0,usd,https://pay.codexlitigation.org/b/7sYfZhgN91nLfRCgAofbA1A
Codex OS Core Scroll Pack,prod_US9HtnJqgvBVXv,price_1TTEzHHb9mVEJOcYlz8UYNbF,4999.0,usd,https://pay.codexlitigation.org/b/6oU3cvbsP8Qd48Uck8fbA1B
DeerSafe,prod_US9HGFNCbO4m97,price_1TTEzHHb9mVEJOcYS3t2CaIF,1499.0,usd,https://pay.codexlitigation.org/b/14AdR968vc2pcFq0BqfbA1C
